title,scored_by,popularity,members,premiered,genre
Inu x Boku SS,139250,231,283882,Winter 2012,"Comedy, Supernatural, Romance, Shounen"
Seto no Hanayome,91206,366,204003,Spring 2007,"Comedy, Parody, Romance, School, Shounen"
Shugo Chara!! Doki,37129,1173,70127,Fall 2008,"Comedy, Magic, School, Shoujo"
Princess Tutu,36501,916,93312,Summer 2002,"Comedy, Drama, Magic, Romance, Fantasy"
Bakuman. 3rd Season,107767,426,182765,Fall 2012,"Comedy, Drama, Romance, Shounen"
Ultra Maniac,9663,2490,22778,Spring 2003,"Magic, Comedy, Romance, School, Shoujo"
Shakugan no Shana II (Second),126085,332,220591,Fall 2007,"Action, Drama, Fantasy, Romance, School, Supernatural"
Nodame Cantabile: Paris-hen,53908,988,85660,Fall 2008,"Music, Slice of Life, Comedy, Romance, Josei"
Ouran Koukou Host Club,335137,69,538843,Spring 2006,"Comedy, Harem, Romance, School, Shoujo"
Junjou Romantica 2,66565,799,108186,Fall 2008,"Comedy, Drama, Romance, Shounen Ai"
Kaichou wa Maid-sama!,315130,71,531292,Spring 2010,"Comedy, Romance, School, Shoujo"
Sekaiichi Hatsukoi 2,53285,945,89543,Fall 2011,"Comedy, Drama, Romance, Shounen Ai"
Tonari no Kaibutsu-kun,281448,88,482105,Fall 2012,"Slice of Life, Comedy, Romance, School, Shoujo"
Bleach,433097,18,819284,Fall 2004,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
Chobits,175388,188,317641,Spring 2002,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
Kimi ni Todoke,212710,111,417136,Fall 2009,"Slice of Life, Drama, Romance, School, Shoujo"
Naruto: Shippuuden,385179,20,794112,Winter 2007,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
Ranma ½,59911,623,134537,Spring 1989,"Slice of Life, Comedy, Martial Arts, Fantasy"
Toradora!,557898,13,910373,Fall 2008,"Slice of Life, Comedy, Romance, School"
Bakuman. 2nd Season,122090,374,201720,Fall 2011,"Comedy, Drama, Romance, Shounen"
Gakuen Alice,33244,1291,62951,Fall 2004,"Comedy, School, Shoujo, Super Power"
Skip Beat!,90699,488,164738,Fall 2008,"Comedy, Drama, Romance, Shoujo"
Chihayafuru 2,62720,757,114340,Winter 2013,"Drama, Game, Josei, School, Slice of Life, Sports"
Shounen Onmyouji,14619,1793,39422,Fall 2006,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo"
Chihayafuru,89081,348,213902,Fall 2011,"Drama, Game, Josei, School, Slice of Life, Sports"
Itazura na Kiss,91187,473,170224,Spring 2008,"Comedy, Romance, Shoujo"
Beelzebub,136105,208,302082,Winter 2011,"Action, Comedy, Demons, Supernatural, School, Shounen"
Hanasakeru Seishounen,16772,1654,44633,Spring 2009,"Drama, Romance, Shoujo"
SKET Dance,44132,646,130264,Spring 2011,"Comedy, School, Shounen"
B-gata H-kei,142827,285,244791,Spring 2010,"Comedy, Romance, Ecchi, School, Seinen"
Crayon Shin-chan,17683,1937,34788,Spring 1992,"Slice of Life, Comedy, Ecchi, School, Seinen"
Fruits Basket,167968,222,292572,Summer 2001,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo"
Saiunkoku Monogatari,23467,1313,61739,Spring 2006,"Adventure, Fantasy, Comedy, Romance, Historical, Drama"
One Piece,423868,35,720133,Fall 1999,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
Glass no Kamen (2005),7348,2523,22123,Spring 2005,"Drama, Shoujo"
Air Gear,126326,297,235764,Spring 2006,"Action, Comedy, Ecchi, Shounen, Sports"
Saiunkoku Monogatari 2nd Season,11924,2233,27481,Spring 2007,"Adventure, Comedy, Drama, Fantasy, Historical, Romance"
InuYasha,181978,141,371313,Fall 2000,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
Chu-Bra!!,16688,1858,37256,Winter 2010,"Ecchi, Comedy, School, Seinen"
Nodame Cantabile Finale,47983,995,84808,Winter 2010,"Comedy, Josei, Music, Romance"
Ghost Hunt,69224,527,152490,Fall 2006,"Comedy, Horror, Mystery, Shoujo, Supernatural"
Accel World,236083,103,433343,Spring 2012,"Action, Game, Sci-Fi, Romance, School"
Bakuman.,167429,172,332666,Fall 2010,"Comedy, Drama, Romance, Shounen"
Nodame Cantabile,87363,381,198927,Winter 2007,"Music, Slice of Life, Comedy, Drama, Romance, Josei"
Kamisama Hajimemashita,138954,259,266342,Fall 2012,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
Cardcaptor Sakura,121898,292,237669,Spring 1998,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
Daa! Daa! Daa!,6598,3045,15211,Spring 2000,"Comedy, Sci-Fi, Shoujo"
Kimi ni Todoke 2nd Season,133548,322,224494,Winter 2011,"Slice of Life, Drama, Romance, School, Shoujo"
Sekaiichi Hatsukoi,69250,701,121752,Spring 2011,"Comedy, Drama, Romance, Shounen Ai"
Code-E,5866,3214,13818,Summer 2007,"Comedy, Romance, School, Sci-Fi, Slice of Life"
Junjou Romantica,86423,568,146369,Spring 2008,"Comedy, Drama, Romance, Shounen Ai"
Kiniro no Corda: Primo Passo,36820,1138,72255,Fall 2006,"Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo"
D.Gray-man Hallow,40618,795,108764,Summer 2016,"Action, Adventure, Super Power, Demons, Shounen"
Sengoku Paradise Kiwami,609,5316,3989,Fall 2011,"Action, Comedy, Drama, Historical, Romance, Samurai, Shoujo"
Peace Maker Kurogane Movie 1: Omou Michi,0,5215,4210,Winter 2011,"Action, Comedy, Historical, Samurai, Shounen"
Boku wa Kuma,690,8069,1111,Spring 2007,"Kids, Music, Slice of Life"
Ane Koi: Suki Kirai Daisuki.,2355,4667,5600,Winter 2011,Hentai
Parasol Henbei,94,10418,309,Fall 1989,"Adventure, Comedy, Fantasy, Kids, Magic"
Ginga Hyouryuu Vifam: Kieta 12-nin,102,10547,285,Summer 2007,"Sci-Fi, Adventure, Space, Mecha"
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,15423,2044,31844,Spring 2011,"Action, Mystery, Horror, Psychological"
Chuuhai Lemon: Love 30s - Ame ni Nurete mo,28,11667,165,Summer 2016,"Police, Comedy, Romance, Drama"
Juuni Kokuki,28791,1016,82925,Spring 2002,"Action, Adventure, Fantasy, Magic, Supernatural"
Diabolik Lovers OVA,9290,2721,19268,Spring 2013,"Harem, School, Vampire, Shoujo"
Ko Ko Ro,100,9817,423,Spring 2001,Hentai
Tuzki: Love Assassin,237,9602,482,Summer 2015,"Comedy, Romance"
Lupin III: Lupin Ikka Seizoroi,676,6950,1926,Spring 2002,"Adventure, Comedy, Seinen"
Neko Konogoro,18,10123,361,Summer 2016,Comedy
Ao no 6-gou,16149,1950,34469,Summer 2018,"Action, Adventure, Mecha, Military, Sci-Fi"
